1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
F89A69F7,A2,0,23,0,0,0,0,0,F7D8417E,223751.691,110722,A,5,0,51
F89A69F7,0,2A,0,28,0,0,0,0,F7D8417E,223751.691,110722,A,5,0,51
F8A493A5,BB,0,38,0,0,0,0,0,F7D8417E,223751.691,110722,A,5,0,51
F8A493A6,0,24,0,21,0,0,0,0,F7D8417E,223751.691,110722,A,5,0,51
F8EAE77C,80,0,2C,0,2D,0,0,0,F7D8417E,223751.691,110722,A,5,0,51
F8EAE77C,0,0,0,35,0,0,0,0,F7D8417E,223751.691,110722,A,5,0,51
F8EAE77C,0,0,0,0,0,39,0,0,F7D8417E,223751.691,110722,A,5,0,51
F9575B2D,80,0,35,0,0,0,0,0,F955B9BE,223752.683,110722,A,5,0,51
F9575B2D,0,0,0,0,0,0,3A,0,F955B9BE,223752.683,110722,A,5,0,51
F9575B2E,0,0,0,23,0,0,0,25,F955B9BE,223752.683,110722,A,5,0,51
F9CE8E86,80,0,3C,0,3C,0,0,0,F955B9BE,223752.683,110722,A,5,0,59
F9CE8E87,0,0,0,26,0,26,0,0,F955B9BE,223752.683,110722,A,5,0,59
F9CEB2D3,B3,0,34,0,0,0,0,0,F955B9BE,223752.683,110722,A,5,0,59
F9CEB2D3,0,0,0,3C,0,0,0,0,F955B9BE,223752.683,110722,A,5,0,59
F9CEB2D4,0,20,0,0,0,0,0,0,F955B9BE,223752.683,110722,A,5,0,59
FA015D80,80,0,0,0,34,0,34,0,F955B9BE,223752.683,110722,A,5,0,59
FA015D80,0,0,0,0,0,3E,0,0,F955B9BE,223752.683,110722,A,5,0,59
FA015D81,0,0,0,0,0,0,0,25,F955B9BE,223752.683,110722,A,5,0,59
FA637ABA,80,0,22,0,24,0,0,0,F955B9BE,223752.683,110722,A,5,0,59
FA637ABA,0,0,0,2A,0,2D,0,0,F955B9BE,223752.683,110722,A,5,0,59
FA703823,A1,0,23,0,0,0,0,0,F955B9BE,223752.683,110722,A,5,0,59
FA703823,0,0,0,2B,0,0,0,0,F955B9BE,223752.683,110722,A,5,0,59
FA703823,0,30,0,0,0,0,0,0,F955B9BE,223752.683,110722,A,5,0,59
FB5BE6C2,BB,0,3D,0,0,0,0,0,FAD331FE,223753.691,110722,A,4,0,51
FB5BE6C3,0,25,0,23,0,0,0,0,FAD331FE,223753.691,110722,A,4,0,51
FC42491D,80,0,25,0,0,0,0,0,FAD331FE,223753.691,110722,A,4,0,51
FC42491D,0,0,0,0,2C,0,0,0,FAD331FE,223753.691,110722,A,4,0,51
FC42491D,0,0,0,31,0,31,0,0,FAD331FE,223753.691,110722,A,4,0,51
FC72FE2F,80,0,3F,0,3F,0,0,0,FC50AA3E,223754.683,110722,A,5,0,59
FC72FE30,0,0,0,2C,0,2B,0,0,FC50AA3E,223754.683,110722,A,5,0,59
FD103486,A7,0,27,0,0,0,0,0,FC50AA3E,223754.683,110722,A,5,0,59
FD103486,0,35,0,33,0,0,0,0,FC50AA3E,223754.683,110722,A,5,0,59
FD920083,80,0,3D,0,3E,0,0,0,FC50AA3E,223754.683,110722,A,5,0,59
FD920084,0,0,0,22,0,0,0,0,FC50AA3E,223754.683,110722,A,5,0,59
FD920084,0,0,0,0,0,2A,0,0,FC50AA3E,223754.683,110722,A,5,0,59
FE05BF02,80,0,2B,0,2E,0,0,0,FDCE227E,223755.691,110722,A,5,0,51
FE05BF02,0,0,0,37,0,0,0,0,FDCE227E,223755.691,110722,A,5,0,51
FE05BF02,0,0,0,0,0,38,0,0,FDCE227E,223755.691,110722,A,5,0,51
FE35525A,80,0,3F,0,3F,0,0,0,FDCE227E,223755.691,110722,A,5,0,51
FE35525B,0,0,0,25,0,0,0,0,FDCE227E,223755.691,110722,A,5,0,51
FE35525B,0,0,0,0,0,2B,0,0,FDCE227E,223755.691,110722,A,5,0,51
FE735344,80,0,24,0,0,0,27,0,FDCE227E,223755.691,110722,A,5,0,51
FE735344,28,0,0,0,0,0,0,0,FDCE227E,223755.691,110722,A,5,0,51
FE735344,0,31,0,37,0,0,0,36,FDCE227E,223755.691,110722,A,5,0,51
FE93A4A5,80,0,0,0,3D,0,3C,0,FDCE227E,223755.691,110722,A,5,0,51
FE93A4A6,0,0,0,0,0,23,0,0,FDCE227E,223755.691,110722,A,5,0,51
FE93A4A6,0,0,0,0,0,0,0,28,FDCE227E,223755.691,110722,A,5,0,51
FEF1BF53,80,0,0,0,2F,0,0,0,FDCE227E,223755.691,110722,A,5,0,51
FEF1BF53,35,0,0,0,0,0,0,0,FDCE227E,223755.691,110722,A,5,0,51
FEF1BF53,0,3A,0,0,0,0,0,0,FDCE227E,223755.691,110722,A,5,0,51
FEF1BF54,0,0,0,0,0,29,0,0,FDCE227E,223755.691,110722,A,5,0,51
FF63AE59,BA,0,3B,0,0,0,0,0,FF4B9ABE,223756.683,110722,A,5,0,35
FF63AE5A,0,0,0,25,0,0,0,0,FF4B9ABE,223756.683,110722,A,5,0,35
FF63AE5A,0,2B,0,0,0,0,0,0,FF4B9ABE,223756.683,110722,A,5,0,35
FFBCACF8,A1,0,26,0,0,0,0,0,FF4B9ABE,223756.683,110722,A,5,0,35
FFBCACF8,0,2F,0,2F,0,0,0,0,FF4B9ABE,223756.683,110722,A,5,0,35
0091576D,B4,0,35,0,0,0,0,0,FF4B9ABE,223756.683,110722,A,5,0,35
0091576D,0,3D,0,3F,0,0,0,0,FF4B9ABE,223756.683,110722,A,5,0,35
00D81247,A5,0,24,0,0,0,0,0,00C912FE,223757.691,110722,A,5,0,35
00D81247,0,39,0,39,0,0,0,0,00C912FE,223757.691,110722,A,5,0,35
024AC230,80,0,27,0,0,0,0,0,02468B3E,223758.683,110722,A,4,0,51
024AC230,2E,0,0,0,0,0,0,0,02468B3E,223758.683,110722,A,4,0,51
024AC230,0,36,0,0,0,0,0,0,02468B3E,223758.683,110722,A,4,0,51
024AC230,0,0,0,3C,0,0,0,0,02468B3E,223758.683,110722,A,4,0,51
2510529,A1,0,22,0,21,0,0,0,02468B3E,223758.683,110722,A,4,0,51
2510529,0,2D,0,2B,0,2F,0,0,02468B3E,223758.683,110722,A,4,0,51
026CCA97,80,0,3C,0,3E,0,0,0,02468B3E,223758.683,110722,A,3,0,59
026CCA98,0,0,0,24,0,26,0,0,02468B3E,223758.683,110722,A,3,0,59
028969F4,80,0,0,0,3E,0,0,0,02468B3E,223758.683,110722,A,3,0,59
028969F5,0,0,0,0,0,0,22,0,02468B3E,223758.683,110722,A,3,0,59
028969F5,0,0,0,0,0,31,0,34,02468B3E,223758.683,110722,A,3,0,59
029DC97A,80,0,0,0,2B,0,2D,0,02468B3E,223758.683,110722,A,3,0,59
029DC97A,0,0,0,0,0,32,0,0,02468B3E,223758.683,110722,A,3,0,59
029DC97A,0,0,0,0,0,0,0,3A,02468B3E,223758.683,110722,A,3,0,59
02BFC991,80,0,0,0,29,0,2A,0,02468B3E,223758.683,110722,A,3,0,59
02BFC991,0,0,0,0,0,31,0,33,02468B3E,223758.683,110722,A,3,0,59
3.64E+07,A5,0,0,0,26,0,0,0,02468B3E,223758.683,110722,A,3,0,59
3.64E+07,0,2E,0,0,0,0,29,0,02468B3E,223758.683,110722,A,3,0,59
3.64E+07,0,0,0,0,0,32,0,32,02468B3E,223758.683,110722,A,3,0,59
03A406E4,80,0,25,0,25,0,0,0,02468B3E,223758.683,110722,A,3,0,59
03A406E4,0,0,0,2C,0,0,0,0,02468B3E,223758.683,110722,A,3,0,59
03A406E4,0,0,0,0,0,31,0,0,02468B3E,223758.683,110722,A,3,0,59
0484A279,80,0,24,0,0,0,0,0,03C4037E,223759.691,110722,A,3,0,51
0484A279,0,0,0,0,28,0,29,0,03C4037E,223759.691,110722,A,3,0,51
0484A279,0,0,0,32,0,30,0,35,03C4037E,223759.691,110722,A,3,0,51
051042AF,80,0,3E,0,0,0,0,0,03C4037E,223759.691,110722,A,3,0,51
051042B0,0,0,0,0,25,0,24,0,03C4037E,223759.691,110722,A,3,0,51
051042B0,0,0,0,2C,0,29,0,2E,03C4037E,223759.691,110722,A,3,0,51
0546415A,BC,0,3E,0,0,0,0,0,05417BBE,223800.683,110722,A,3,0,51
0546415B,0,0,0,26,0,0,25,0,05417BBE,223800.683,110722,A,3,0,51
0546415B,0,29,0,0,0,0,0,2B,05417BBE,223800.683,110722,A,3,0,51
054EFDE5,AA,0,2D,0,0,0,0,0,05417BBE,223800.683,110722,A,3,0,51
054EFDE5,0,36,0,32,0,0,0,0,05417BBE,223800.683,110722,A,3,0,51
05EB8432,80,0,22,0,22,0,23,0,05417BBE,223800.683,110722,A,3,0,59
05EB8432,0,0,0,28,0,2D,0,0,05417BBE,223800.683,110722,A,3,0,59
05EB8432,0,0,0,0,0,0,0,38,05417BBE,223800.683,110722,A,3,0,59
05ED6BB3,BD,0,3E,0,0,0,0,0,05417BBE,223800.683,110722,A,3,0,59
05ED6BB4,0,0,0,23,0,0,0,0,05417BBE,223800.683,110722,A,3,0,59
05ED6BB4,0,28,0,0,0,0,0,0,05417BBE,223800.683,110722,A,3,0,59
05FAA98E,80,0,2E,0,0,0,0,0,05417BBE,223800.683,110722,A,3,0,59
05FAA98E,30,0,0,0,0,0,0,0,05417BBE,223800.683,110722,A,3,0,59
05FAA98E,0,39,0,3C,0,0,0,0,05417BBE,223800.683,110722,A,3,0,59
0699BEB6,B5,0,37,0,0,0,0,0,05417BBE,223800.683,110722,A,3,0,59
0699BEB6,0,3E,0,3C,0,0,0,0,05417BBE,223800.683,110722,A,3,0,59
07B982D1,AF,0,0,0,0,0,0,0,06BEF3FE,223801.691,110722,A,3,0,51
07B982D1,0,0,30,0,33,0,0,0,06BEF3FE,223801.691,110722,A,3,0,51
07B982D1,0,38,0,38,0,3B,0,0,06BEF3FE,223801.691,110722,A,3,0,51
07E23D6B,80,0,0,0,22,0,25,0,06BEF3FE,223801.691,110722,A,3,0,51
07E23D6B,0,0,0,0,0,2D,0,0,06BEF3FE,223801.691,110722,A,3,0,51
07E23D6B,0,0,0,0,0,0,0,35,06BEF3FE,223801.691,110722,A,3,0,51
080F9268,80,0,0,0,37,0,0,0,06BEF3FE,223801.691,110722,A,3,0,51
080F9268,0,0,0,0,0,0,3B,0,06BEF3FE,223801.691,110722,A,3,0,51
080F9269,0,0,0,0,0,21,0,23,06BEF3FE,223801.691,110722,A,3,0,51
081B7B1A,B7,0,0,0,0,0,0,0,06BEF3FE,223801.691,110722,A,3,0,51
081B7B1A,0,0,3A,0,3E,0,0,0,06BEF3FE,223801.691,110722,A,3,0,51
081B7B1B,0,29,0,2B,0,2A,0,0,06BEF3FE,223801.691,110722,A,3,0,51
081C90F5,80,0,34,0,0,0,0,0,06BEF3FE,223801.691,110722,A,3,0,51
081C90F5,0,0,0,0,0,0,3C,0,06BEF3FE,223801.691,110722,A,3,0,51
081C90F6,0,0,0,22,0,0,0,0,06BEF3FE,223801.691,110722,A,3,0,51
081C90F6,0,0,0,0,0,0,0,29,06BEF3FE,223801.691,110722,A,3,0,51
085C9359,A4,0,26,0,0,0,0,0,083C6C3E,223802.683,110722,A,4,0,59
085C9359,0,0,0,2E,0,0,0,0,083C6C3E,223802.683,110722,A,4,0,59
085C9359,0,34,0,0,0,0,0,0,083C6C3E,223802.683,110722,A,4,0,59
08896CC7,80,0,2C,0,0,0,0,0,083C6C3E,223802.683,110722,A,4,0,59
08896CC7,0,0,0,0,31,0,33,0,083C6C3E,223802.683,110722,A,4,0,59
08896CC7,0,0,0,3F,0,39,0,3E,083C6C3E,223802.683,110722,A,4,0,59
09076BAD,80,0,0,0,2E,0,0,0,083C6C3E,223802.683,110722,A,4,0,59
09076BAD,0,0,0,0,0,0,33,0,083C6C3E,223802.683,110722,A,4,0,59
09076BAD,0,0,0,0,0,3E,0,0,083C6C3E,223802.683,110722,A,4,0,59
09076BAE,0,0,0,0,0,0,0,22,083C6C3E,223802.683,110722,A,4,0,59
090EA9C7,80,0,0,0,25,0,27,0,083C6C3E,223802.683,110722,A,4,0,59
090EA9C7,0,0,0,0,0,2B,0,0,083C6C3E,223802.683,110722,A,4,0,59
090EA9C7,0,0,0,0,0,0,0,31,083C6C3E,223802.683,110722,A,4,0,59
093993D7,BD,0,3D,0,3B,0,0,0,083C6C3E,223802.683,110722,A,4,0,59
093993D8,0,27,0,26,0,26,0,0,083C6C3E,223802.683,110722,A,4,0,59
096DEFEA,80,0,21,0,22,0,0,0,083C6C3E,223802.683,110722,A,4,0,59
096DEFEA,0,0,0,2C,0,0,0,0,083C6C3E,223802.683,110722,A,4,0,59
096DEFEA,0,0,0,0,0,33,0,0,083C6C3E,223802.683,110722,A,4,0,59
098C0A96,80,0,0,0,37,0,0,0,083C6C3E,223802.683,110722,A,4,0,59
098C0A96,0,0,0,0,0,0,3E,0,083C6C3E,223802.683,110722,A,4,0,59
098C0A97,0,0,0,0,0,2A,0,28,083C6C3E,223802.683,110722,A,4,0,59
09F87746,BA,0,3C,0,0,0,0,0,09B9E480,223803.691,110722,A,4,0,51
09F87747,0,27,0,26,0,0,0,0,09B9E480,223803.691,110722,A,4,0,51
0A66AF0A,80,0,3F,0,38,0,0,0,09B9E480,223803.691,110722,A,4,0,51
0A66AF0B,0,0,0,23,0,0,0,0,09B9E480,223803.691,110722,A,4,0,51
0A66AF0B,0,0,0,0,0,28,0,0,09B9E480,223803.691,110722,A,4,0,51
0AF213AB,80,0,29,0,28,0,0,0,09B9E480,223803.691,110722,A,4,0,51
0AF213AB,0,0,0,34,0,33,0,0,09B9E480,223803.691,110722,A,4,0,51
0B202119,80,0,21,0,23,0,0,0,09B9E480,223803.691,110722,A,4,0,51
0B202119,0,0,0,2C,0,0,0,0,09B9E480,223803.691,110722,A,4,0,51
0B202119,0,0,0,0,0,38,0,0,09B9E480,223803.691,110722,A,4,0,51
0BA398A1,AC,0,0,0,0,0,0,0,0B375CC3,223804.683,110722,A,4,0,59
0BA398A1,0,0,31,0,0,0,0,0,0B375CC3,223804.683,110722,A,4,0,59
0BA398A1,0,38,0,38,0,0,0,0,0B375CC3,223804.683,110722,A,4,0,59
0BAE45B4,80,0,3F,0,0,0,0,0,0B375CC3,223804.683,110722,A,4,0,59
0BAE45B5,21,0,0,0,0,0,0,0,0B375CC3,223804.683,110722,A,4,0,59
0BAE45B5,0,2B,0,2E,0,0,0,0,0B375CC3,223804.683,110722,A,4,0,59
0BB74C89,B1,0,33,0,0,0,0,0,0B375CC3,223804.683,110722,A,4,0,59
0BB74C8A,0,23,0,20,0,0,0,0,0B375CC3,223804.683,110722,A,4,0,59
0BCF475D,80,0,3F,0,0,0,0,0,0B375CC3,223804.683,110722,A,4,0,59
0BCF475E,0,0,0,0,0,0,26,0,0B375CC3,223804.683,110722,A,4,0,59
0BCF475E,0,0,0,2C,0,0,0,2F,0B375CC3,223804.683,110722,A,4,0,59
0C162C2E,80,0,29,0,2E,0,0,0,0B375CC3,223804.683,110722,A,4,0,59
0C162C2E,0,0,0,37,0,0,0,0,0B375CC3,223804.683,110722,A,4,0,59
0C162C2E,0,0,0,0,0,39,0,0,0B375CC3,223804.683,110722,A,4,0,59
0C1759F7,80,0,0,0,2F,0,0,0,0B375CC3,223804.683,110722,A,4,0,59
0C1759F7,0,0,0,0,0,31,33,0,0B375CC3,223804.683,110722,A,4,0,59
0C1759F7,0,0,0,0,0,0,0,3A,0B375CC3,223804.683,110722,A,4,0,59
0C87B6AC,80,0,0,0,0,0,3E,0,0B375CC3,223804.683,110722,A,4,0,59
0C87B6AD,0,0,0,0,25,0,0,0,0B375CC3,223804.683,110722,A,4,0,59
0C87B6AD,0,0,0,0,0,2A,0,0,0B375CC3,223804.683,110722,A,4,0,59
0C87B6AD,0,0,0,0,0,0,0,30,0B375CC3,223804.683,110722,A,4,0,59
